Slice,Count,Total Area,Average Size,%Area,Mean
358,6,47589,7931.500,7.436,255
359,6,47519,7919.833,7.425,255
360,5,46760,9352.000,7.306,255
361,8,47819,5977.375,7.472,255
362,9,46807,5200.778,7.314,255
363,5,46185,9237.000,7.216,255
364,5,47815,9563.000,7.471,255
365,6,46486,7747.667,7.263,255
366,5,46223,9244.600,7.222,255
367,6,47403,7900.500,7.407,255
368,8,46742,5842.750,7.303,255
369,6,46625,7770.833,7.285,255
370,7,48245,6892.143,7.538,255
371,7,47109,6729.857,7.361,255
372,6,47222,7870.333,7.378,255
373,6,46772,7795.333,7.308,255
374,6,45846,7641.000,7.163,255
375,8,47473,5934.125,7.418,255
376,9,48033,5337.000,7.505,255
377,7,47337,6762.429,7.396,255
378,5,46958,9391.600,7.337,255
379,7,46710,6672.857,7.298,255
380,6,45653,7608.833,7.133,255
381,7,46692,6670.286,7.296,255
382,8,48349,6043.625,7.555,255
383,7,48333,6904.714,7.552,255
384,7,48563,6937.571,7.588,255
385,8,49004,6125.500,7.657,255
386,6,48214,8035.667,7.533,255
387,8,47982,5997.750,7.497,255
388,6,47701,7950.167,7.453,255
389,6,47084,7847.333,7.357,255
390,6,48152,8025.333,7.524,255
391,7,47744,6820.571,7.460,255
392,6,46380,7730.000,7.247,255
393,7,49139,7019.857,7.678,255
394,8,48239,6029.875,7.537,255
395,7,47524,6789.143,7.426,255
396,10,48196,4819.600,7.531,255
397,7,47708,6815.429,7.454,255
398,8,48143,6017.875,7.522,255
399,5,47917,9583.400,7.487,255
400,7,48660,6951.429,7.603,255
401,4,46249,11562.250,7.226,255
402,9,48075,5341.667,7.512,255
403,9,47987,5331.889,7.498,255
404,9,48553,5394.778,7.586,255
405,5,47787,9557.400,7.467,255
406,5,48295,9659.000,7.546,255
407,6,48686,8114.333,7.607,255
408,6,48169,8028.167,7.526,255
409,8,48051,6006.375,7.508,255
410,6,48155,8025.833,7.524,255
411,6,47904,7984.000,7.485,255
412,4,47588,11897.000,7.436,255
413,7,47465,6780.714,7.416,255
414,7,47651,6807.286,7.445,255
415,7,48335,6905.000,7.552,255
416,6,47654,7942.333,7.446,255
417,6,48297,8049.500,7.546,255
418,5,46617,9323.400,7.284,255
419,6,47948,7991.333,7.492,255
420,5,47049,9409.800,7.351,255
421,5,47392,9478.400,7.405,255
422,5,46676,9335.200,7.293,255
423,7,46615,6659.286,7.284,255
424,7,47816,6830.857,7.471,255
425,6,48819,8136.500,7.628,255
426,7,48289,6898.429,7.545,255
427,7,48063,6866.143,7.510,255
428,7,47713,6816.143,7.455,255
429,6,47682,7947.000,7.450,255
430,7,49049,7007.000,7.664,255
431,7,47651,6807.286,7.445,255
432,7,47220,6745.714,7.378,255
433,5,47187,9437.400,7.373,255
434,8,48819,6102.375,7.628,255
435,7,48984,6997.714,7.654,255
436,6,48138,8023.000,7.522,255
437,7,47399,6771.286,7.406,255
438,5,45654,9130.800,7.133,255
439,7,46487,6641.000,7.264,255
440,7,48273,6896.143,7.543,255
441,6,47445,7907.500,7.413,255
442,5,46907,9381.400,7.329,255
443,7,47133,6733.286,7.365,255
444,7,47745,6820.714,7.460,255
445,6,47340,7890.000,7.397,255
